kode,symbol,date,price
MALUKU,MSFT,1995,160477
MALUKU,MSFT,2000,75540
MALUKU,MSFT,2005,73356
MALUKU,MSFT,2010,123165
MALUKU,MSFT,2015,134500
MALUT,MSFT,2000,60834
MALUT,MSFT,2005,63384
MALUT,MSFT,2010,107681
MALUT,MSFT,2015,106920
NTB,MSFT,1971,34117
NTB,MSFT,1980,56081
NTB,MSFT,1985,61539
NTB,MSFT,1990,69466
NTB,MSFT,1995,75227
NTB,MSFT,2000,107605
NTB,MSFT,2005,100811
NTB,MSFT,2010,115832
NTB,MSFT,2015,121828
NTT,MSFT,1971,13039
NTT,MSFT,1980,42614
NTT,MSFT,1985,42469
NTT,MSFT,1990,48159
NTT,MSFT,1995,57915
NTT,MSFT,2000,106053
NTT,MSFT,2005,102222
NTT,MSFT,2010,185083
NTT,MSFT,2015,176608
PAPBAR,MSFT,2000,130767
PAPBAR,MSFT,2005,166523
PAPBAR,MSFT,2010,250196
PAPBAR,MSFT,2015,272151
PAPUA,MSFT,1971,33923
PAPUA,MSFT,1980,96079
PAPUA,MSFT,1985,156756
PAPUA,MSFT,1990,262873
PAPUA,MSFT,1995,274276
PAPUA,MSFT,2000,226773
PAPUA,MSFT,2005,295536
PAPUA,MSFT,2010,435773
PAPUA,MSFT,2015,491656
RIAU,MSFT,1971,217134
RIAU,MSFT,1980,356272
RIAU,MSFT,1985,315399
RIAU,MSFT,1990,689036
RIAU,MSFT,1995,884769
RIAU,MSFT,2000,1175960
RIAU,MSFT,2005,1335873
RIAU,MSFT,2010,1911760
RIAU,MSFT,2015,1881079
SULBARAT,MSFT,2000,104458
SULBARAT,MSFT,2005,166345
SULBARAT,MSFT,2010,172113
SULBARAT,MSFT,2015,175283
SULSEL,MSFT,1971,71411
SULSEL,MSFT,1980,118984
SULSEL,MSFT,1985,132060
SULSEL,MSFT,1990,225279
SULSEL,MSFT,1995,304296
SULSEL,MSFT,2000,266055
SULSEL,MSFT,2005,320587
SULSEL,MSFT,2010,364288
SULSEL,MSFT,2015,346168
SULTENG,MSFT,1971,51320
SULTENG,MSFT,1980,187024
SULTENG,MSFT,1985,170323
SULTENG,MSFT,1990,287447
SULTENG,MSFT,1995,351609
SULTENG,MSFT,2000,369634
SULTENG,MSFT,2005,358601
SULTENG,MSFT,2010,452792
SULTENG,MSFT,2015,465614
SULTENGG,MSFT,1971,26024
SULTENGG,MSFT,1980,106027
SULTENGG,MSFT,1985,160035
SULTENGG,MSFT,1990,237602
SULTENGG,MSFT,1995,260141
SULTENGG,MSFT,2000,366817
SULTENGG,MSFT,2005,341057
SULTENGG,MSFT,2010,447484
SULTENGG,MSFT,2015,443602
SULUT,MSFT,1971,50356
SULUT,MSFT,1980,91460
SULUT,MSFT,1985,74819
SULUT,MSFT,1990,89096
SULUT,MSFT,1995,76084
SULUT,MSFT,2000,147091
SULUT,MSFT,2005,165689
SULUT,MSFT,2010,206139
SULUT,MSFT,2015,188136
SUMBAR,MSFT,1971,88832
