id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
JABAR;NTT;Kalimantan Barat;Nusa Tenggara Timur;3822
JABAR;KALBAR;Kalimantan Barat;Kalimantan Barat;2270696
JABAR;KALTENG;Kalimantan Barat;Kalimantan Tengah;1317
JABAR;KALSEL;Kalimantan Barat;Kalimantan Selatan;1635
JABAR;KALTIM;Kalimantan Barat;Kalimantan Timur;467
JABAR;KALUT;Kalimantan Barat;Kalimantan Utara;23
JABAR;SULUT;Kalimantan Barat;Sulawesi Utara;309
JABAR;SULTENG;Kalimantan Barat;Sulawesi Tengah;240
JABAR;SULSEL;Kalimantan Barat;Sulawesi Selatan;2723
JABAR;SULTENGG;Kalimantan Barat;Sulawesi Tenggara;223
JABAR;GORONTALO;Kalimantan Barat;Gorontalo;NA
JABAR;SULBARAT;Kalimantan Barat;Sulawesi Barat;11
JABAR;MALUKU;Kalimantan Barat;Maluku;519
JABAR;MALUT;Kalimantan Barat;Maluku Utara;NA
JABAR;PAPBAR;Kalimantan Barat;Papua Barat;NA
JABAR;PAPUA;Kalimantan Barat;Papua;291
JATENG;ACEH;Kalimantan Selatan;Aceh;913
JATENG;SUMUT;Kalimantan Selatan;Sumatera Utara;3946
JATENG;SUMBAR;Kalimantan Selatan;Sumatera Barat;1136
JATENG;RIAU;Kalimantan Selatan;Riau;351
JATENG;JAMBI;Kalimantan Selatan;Jambi;419
JATENG;SUMSEL;Kalimantan Selatan;Sumatera Selatan;890
JATENG;BENGKULU;Kalimantan Selatan;Bengkulu;147
JATENG;LAMPUNG;Kalimantan Selatan;Lampung;1877
JATENG;BABEL;Kalimantan Selatan;Kep  Bangka Belitung;148
JATENG;KEPRI;Kalimantan Selatan;Kepulauan Riau;103
JATENG;JAKARTA;Kalimantan Selatan;DKI Jakarta;3368
JATENG;JABAR;Kalimantan Selatan;Jawa Barat;13871
JATENG;JATENG;Kalimantan Selatan;Jawa Tengah;54184
JATENG;YOGYA;Kalimantan Selatan;DI Yogyakarta;9067
JATENG;JATIM;Kalimantan Selatan;Jawa Timur;102996
JATENG;BANTEN;Kalimantan Selatan;Banten;1567
JATENG;BALI;Kalimantan Selatan;Bali;2064
JATENG;NTB;Kalimantan Selatan;Nusa Tenggara Barat;5283
JATENG;NTT;Kalimantan Selatan;Nusa Tenggara Timur;4286
JATENG;KALBAR;Kalimantan Selatan;Kalimantan Barat;1770
JATENG;KALTENG;Kalimantan Selatan;Kalimantan Tengah;25575
JATENG;KALSEL;Kalimantan Selatan;Kalimantan Selatan;1745444
JATENG;KALTIM;Kalimantan Selatan;Kalimantan Timur;10426
JATENG;KALUT;Kalimantan Selatan;Kalimantan Utara;788
JATENG;SULUT;Kalimantan Selatan;Sulawesi Utara;1557
JATENG;SULTENG;Kalimantan Selatan;Sulawesi Tengah;1068
