id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
BABEL;SULUT;JawaBarat;SulawesiUtara;10001
BABEL;SULTENG;JawaBarat;SulawesiTengah;2044
BABEL;SULSEL;JawaBarat;SulawesiSelatan;16934
BABEL;SULTENGG;JawaBarat;SulawesiTenggara;1227
BABEL;GORONTALO;JawaBarat;Gorontalo;2339
BABEL;SULBARAT;JawaBarat;SulawesiBarat; NA
BABEL;MALUKU;JawaBarat;Maluku;4947
BABEL;MALUT;JawaBarat;MalukuUtara;1232
BABEL;PAPBAR;JawaBarat;PapuaBarat;143
BABEL;PAPUA;JawaBarat;Papua;973
KEPRI;ACEH;JawaTengah;Aceh;3780
KEPRI;SUMUT;JawaTengah;SumateraUtara;13272
KEPRI;SUMBAR;JawaTengah;SumateraBarat;6808
KEPRI;RIAU;JawaTengah;Riau;5221
KEPRI;JAMBI;JawaTengah;Jambi;3093
KEPRI;SUMSEL;JawaTengah;SumateraSelatan;9343
KEPRI;BENGKULU;JawaTengah;Bengkulu;3038
KEPRI;LAMPUNG;JawaTengah;Lampung;20963
KEPRI;BABEL;JawaTengah;Kep.BangkaBelitung;2144
KEPRI;KEPRI;JawaTengah;KepulauanRiau;3940
KEPRI;JAKARTA;JawaTengah;DKIJakarta;62340
KEPRI;JABAR;JawaTengah;JawaBarat;103222
KEPRI;JATENG;JawaTengah;JawaTengah;16503970
KEPRI;YOGYA;JawaTengah;DIYogyakarta;82761
KEPRI;JATIM;JawaTengah;JawaTimur;124851
KEPRI;BANTEN;JawaTengah;Banten;19628
KEPRI;BALI;JawaTengah;Bali;2455
KEPRI;NTB;JawaTengah;NusaTenggaraBarat;1657
KEPRI;NTT;JawaTengah;NusaTenggaraTimur;1257
KEPRI;KALBAR;JawaTengah;KalimantanBarat;6031
KEPRI;KALTENG;JawaTengah;KalimantanTengah;4372
KEPRI;KALSEL;JawaTengah;KalimantanSelatan;5878
KEPRI;KALTIM;JawaTengah;KalimantanTimur;4185
KEPRI;KALUT;JawaTengah;KalimantanUtara;268
KEPRI;SULUT;JawaTengah;SulawesiUtara;2118
KEPRI;SULTENG;JawaTengah;SulawesiTengah;723
KEPRI;SULSEL;JawaTengah;SulawesiSelatan;3576
KEPRI;SULTENGG;JawaTengah;SulawesiTenggara;1978
KEPRI;GORONTALO;JawaTengah;Gorontalo;896
KEPRI;SULBARAT;JawaTengah;SulawesiBarat;483
KEPRI;MALUKU;JawaTengah;Maluku;2428
KEPRI;MALUT;JawaTengah;MalukuUtara;292
KEPRI;PAPBAR;JawaTengah;PapuaBarat;1118
KEPRI;PAPUA;JawaTengah;Papua;2255
JAKARTA;ACEH;JawaTimur;Aceh;2215
JAKARTA;SUMUT;JawaTimur;SumateraUtara;19112
JAKARTA;SUMBAR;JawaTimur;SumateraBarat;4215
JAKARTA;RIAU;JawaTimur;Riau;6769
JAKARTA;JAMBI;JawaTimur;Jambi;2523
JAKARTA;SUMSEL;JawaTimur;SumateraSelatan;7915
JAKARTA;BENGKULU;JawaTimur;Bengkulu;1276
JAKARTA;LAMPUNG;JawaTimur;Lampung;15192
JAKARTA;BABEL;JawaTimur;Kep.BangkaBelitung;590
JAKARTA;KEPRI;JawaTimur;KepulauanRiau;3684
JAKARTA;JAKARTA;JawaTimur;DKIJakarta;30925
JAKARTA;JABAR;JawaTimur;JawaBarat;47644
JAKARTA;JATENG;JawaTimur;JawaTengah;177095
JAKARTA;YOGYA;JawaTimur;DIYogyakarta;24003
JAKARTA;JATIM;JawaTimur;JawaTimur;19197386
JAKARTA;BANTEN;JawaTimur;Banten;6515
JAKARTA;BALI;JawaTimur;Bali;13875
JAKARTA;NTB;JawaTimur;NusaTenggaraBarat;11474
JAKARTA;NTT;JawaTimur;NusaTenggaraTimur;9355
JAKARTA;KALBAR;JawaTimur;KalimantanBarat;8223
JAKARTA;KALTENG;JawaTimur;KalimantanTengah;6238
JAKARTA;KALSEL;JawaTimur;KalimantanSelatan;10041
JAKARTA;KALTIM;JawaTimur;KalimantanTimur;16217
JAKARTA;KALUT;JawaTimur;KalimantanUtara;1619
JAKARTA;SULUT;JawaTimur;SulawesiUtara;7053
JAKARTA;SULTENG;JawaTimur;SulawesiTengah;4436
JAKARTA;SULSEL;JawaTimur;SulawesiSelatan;13231
JAKARTA;SULTENGG;JawaTimur;SulawesiTenggara;2390
JAKARTA;GORONTALO;JawaTimur;Gorontalo;1705
JAKARTA;SULBARAT;JawaTimur;SulawesiBarat;270
JAKARTA;MALUKU;JawaTimur;Maluku;3168
JAKARTA;MALUT;JawaTimur;MalukuUtara;649
JAKARTA;PAPBAR;JawaTimur;PapuaBarat;1750
JAKARTA;PAPUA;JawaTimur;Papua;4730
JABAR;ACEH;KalimantanBarat;Aceh;438
JABAR;SUMUT;KalimantanBarat;SumateraUtara;4802
JABAR;SUMBAR;KalimantanBarat;SumateraBarat;1258
JABAR;RIAU;KalimantanBarat;Riau;1213
JABAR;JAMBI;KalimantanBarat;Jambi;195
JABAR;SUMSEL;KalimantanBarat;SumateraSelatan;605
JABAR;BENGKULU;KalimantanBarat;Bengkulu;246
JABAR;LAMPUNG;KalimantanBarat;Lampung;1342
JABAR;BABEL;KalimantanBarat;Kep.BangkaBelitung;339
JABAR;KEPRI;KalimantanBarat;KepulauanRiau;848
JABAR;JAKARTA;KalimantanBarat;DKIJakarta;5922
JABAR;JABAR;KalimantanBarat;JawaBarat;12596
JABAR;JATENG;KalimantanBarat;JawaTengah;40913
JABAR;YOGYA;KalimantanBarat;DIYogyakarta;4969
JABAR;JATIM;KalimantanBarat;JawaTimur;41332
JABAR;BANTEN;KalimantanBarat;Banten;1675
JABAR;BALI;KalimantanBarat;Bali;268
JABAR;NTB;KalimantanBarat;NusaTenggaraBarat;1314
JABAR;NTT;KalimantanBarat;NusaTenggaraTimur;1254
